Sites (BDGP5.78),Priori Knowledge,UMAP-1,UMAP-2,K-Means,GMM,Agglomerative (complete),Agglomerative (ward),BIRCH,Spectral Clustering,Louvain,Leiden,OPTICS,DBSCAN,HDBSCAN,HDBSCAN (soft clustering)
2L@4226913@-,Type I,8.511399,8.086495,1,1,1,0,0,0,0,0,0,0,1,1
2L@4381573@-,Type I,7.9274306,6.828213,1,0,1,0,0,0,0,0,0,0,1,1
2L@4382460@-,Type I,8.615023,7.444422,1,1,1,0,0,0,0,0,0,0,1,1
2L@4383558@-,Type I,7.710586,5.5862527,1,0,1,0,0,0,0,0,0,0,1,1
2L@4384238@-,Type I,6.4914193,9.120151,0,0,0,1,1,0,0,0,0,0,1,1
2L@4384937@-,Type I,8.295529,7.825792,1,1,1,0,0,0,0,0,0,0,1,1
2L@4385022@-,Type I,7.5558043,9.451104,0,1,0,1,1,0,0,0,0,0,1,1
2L@4385245@-,Type I,8.823615,7.243814,1,1,1,0,0,0,0,0,0,0,1,1
2L@4385959@-,Type I,7.310452,7.215547,1,0,1,0,0,0,0,0,0,0,1,1
2L@4386523@-,Type I,8.905285,6.848315,1,0,1,0,0,0,0,0,0,0,1,1
2L@4394350@+,Type I,8.403652,9.946043,0,1,0,1,0,0,0,0,0,0,1,1
2L@4395510@+,Type I,6.469235,7.448723,0,0,0,0,1,0,0,0,0,0,1,1
2L@4395699@+,Type I,8.968999,7.1907005,1,1,1,0,0,0,0,0,0,0,1,1
2L@4398020@+,Type I,6.3963256,6.695859,0,0,1,0,0,0,0,0,0,0,1,1
2L@4398043@+,Type II,3.7448754,8.349844,0,0,0,1,1,1,1,1,1,1,0,0
2L@4442677@+,Type I,9.870103,9.30652,1,1,1,0,0,0,0,0,0,0,1,1
2L@4443369@-,Type I,6.9483137,9.259353,0,0,0,1,1,0,0,0,0,0,1,1
2L@4445528@+,Type I,8.188335,7.345664,1,0,1,0,0,0,0,0,0,0,1,1
2L@4447332@-,Type I,7.469123,7.4729366,1,0,1,0,0,0,0,0,0,0,1,1
2L@4449662@-,Type I,6.4643116,9.391265,0,0,0,1,1,0,0,0,0,0,1,1
2L@4451916@-,Type I,7.496792,8.841116,0,1,0,1,0,0,0,0,0,0,1,1
2L@4453835@-,Type I,6.9431586,6.595867,0,0,1,0,0,0,0,0,0,0,1,1
2L@4455637@-,Type I,7.7127705,9.736893,0,1,0,1,1,0,0,0,0,0,1,1
2L@4456165@-,Type I,5.925025,7.833926,0,0,0,1,1,0,0,0,0,0,1,1
2L@4457964@-,Type I,9.1069765,6.807308,1,0,1,0,0,0,0,0,0,0,1,1
2L@4458024@-,Type I,9.222777,8.655684,1,1,1,0,0,0,0,0,0,0,1,1
2L@4461931@-,Type I,10.387265,8.864037,1,1,1,0,0,0,0,0,0,0,1,1
2L@4464085@+,Type I,8.323966,5.8125796,1,0,1,0,0,0,0,0,0,0,1,1
2L@4467426@+,Type I,10.05262,7.206265,1,1,1,0,0,0,0,0,0,0,1,1
2L@449961@-,Type I,7.977679,8.747281,1,1,0,1,0,0,0,0,0,0,1,1
2L@453531@+,Type I,8.939012,8.200705,1,1,1,0,0,0,0,0,0,0,1,1
2L@453603@+,Type I,8.945767,5.9376664,1,0,1,0,0,0,0,0,0,0,1,1
2L@475570@+,Type I,7.024973,6.520484,1,0,1,0,0,0,0,0,0,0,1,1
2L@475763@+,Type I,6.954395,6.678645,0,0,1,0,0,0,0,0,0,0,1,1
2L@477917@-,Type I,6.610541,7.397967,0,0,0,0,1,0,0,0,0,0,1,1
2L@4796405@+,Type I,8.043675,10.079889,0,1,0,1,0,0,0,0,0,0,1,1
2L@4817053@-,Type I,8.132278,6.864575,1,0,1,0,0,0,0,0,0,0,1,1
2L@4817135@-,Type I,6.798476,9.403779,0,0,0,1,1,0,0,0,0,0,1,1
2L@4817469@-,Type I,10.521848,8.438534,1,1,1,0,0,0,0,0,0,0,1,1
2L@4845929@-,Type I,6.3282533,9.7693815,0,0,0,1,1,0,0,0,0,0,1,1
2L@4851945@+,Type I,10.56044,8.059774,1,1,1,0,0,0,0,0,0,0,1,1
2L@4851994@+,Type I,7.2183785,9.231928,0,1,0,1,1,0,0,0,0,0,1,1
2L@4878846@-,Type I,7.8621387,8.888883,0,1,0,1,0,0,0,0,0,0,1,1
2L@4884928@+,Type I,6.2490315,7.2208996,0,0,0,0,1,0,0,0,0,0,1,1
2L@4892225@+,Type I,10.457979,7.0818944,1,1,1,0,0,0,0,0,0,0,1,1
2L@4901765@+,Type I,8.178871,5.625671,1,0,1,0,0,0,0,0,0,0,1,1
2L@4909840@-,Type I,8.94443,8.668759,1,1,1,0,0,0,0,0,0,0,1,1
2L@4910601@-,Type I,9.438638,8.487034,1,1,1,0,0,0,0,0,0,0,1,1
2L@4911731@-,Type I,9.834775,8.036135,1,1,1,0,0,0,0,0,0,0,1,1
2L@4948496@-,Type I,9.922402,9.019732,1,1,1,0,0,0,0,0,0,0,1,1
2L@4956498@+,Type I,9.78594,6.997482,1,1,1,0,0,0,0,0,0,0,1,1
2L@4957225@+,Type I,7.5883145,6.496622,1,0,1,0,0,0,0,0,0,0,1,1
2L@4957226@+,Type I,9.885585,6.833502,1,1,1,0,0,0,0,0,0,0,1,1
2L@4968196@-,Type I,6.899703,7.1775136,0,0,1,0,0,0,0,0,0,0,1,1
2L@4968786@-,Type I,7.240366,6.2583575,1,0,1,0,0,0,0,0,0,0,1,1
2L@4972307@+,Type I,6.336419,8.843015,0,0,0,1,1,0,0,0,0,0,1,1
2L@4973320@+,Type I,8.990125,8.391632,1,1,1,0,0,0,0,0,0,0,1,1
2L@4978081@+,Type I,7.5342994,6.6966023,1,0,1,0,0,0,0,0,0,0,1,1
2L@4979766@-,Type I,7.343263,6.6126404,1,0,1,0,0,0,0,0,0,0,1,1
2L@4983719@+,Type I,8.812841,6.1149197,1,0,1,0,0,0,0,0,0,0,1,1
2L@4987206@+,Type I,10.173973,7.9135146,1,1,1,0,0,0,0,0,0,0,1,1
2L@4994804@-,Type I,10.500673,7.9689856,1,1,1,0,0,0,0,0,0,0,1,1
2L@4994915@-,Type II,4.5379033,9.265296,0,0,0,1,1,1,1,1,-1,1,-1,0
2L@5008602@-,Type I,10.698706,7.882011,1,1,1,0,0,0,0,0,0,0,1,1
2L@5008863@-,Type I,10.442525,6.8831954,1,0,1,0,0,0,0,0,0,0,1,1
2L@5009046@-,Type I,9.07893,8.6437235,1,1,1,0,0,0,0,0,0,0,1,1
2L@5014042@-,Type I,8.854896,7.8350835,1,1,1,0,0,0,0,0,0,0,1,1
2L@5053259@+,Type I,6.484555,8.663613,0,0,0,1,1,0,0,0,0,0,1,1
2L@5070234@+,Type I,10.228606,8.78067,1,1,1,0,0,0,0,0,0,0,1,1
2L@5071125@+,Type I,9.494438,8.094053,1,1,1,0,0,0,0,0,0,0,1,1
2L@5094411@+,Type I,7.9965935,6.1991873,1,0,1,0,0,0,0,0,0,0,1,1
2L@5094615@+,Type I,8.645307,6.7704473,1,0,1,0,0,0,0,0,0,0,1,1
2L@5097866@+,Type I,9.465743,8.684391,1,1,1,0,0,0,0,0,0,0,1,1
2L@5097930@+,Type I,8.766451,8.262911,1,1,1,0,0,0,0,0,0,0,1,1
2L@5143101@+,Type I,6.4879375,6.401962,0,0,1,0,0,0,0,0,0,0,1,1
2L@5177359@+,Type I,5.7249374,9.654422,0,0,0,1,1,0,0,0,-1,0,-1,1
2L@5178007@+,Type I,5.730917,9.652998,0,0,0,1,1,0,0,0,-1,0,-1,1
2L@5179627@+,Type I,5.7194676,9.657619,0,0,0,1,1,0,0,0,-1,0,-1,1
2L@5214436@-,Type II,4.372338,8.758166,0,0,0,1,1,1,1,1,1,1,0,0
2L@5220668@-,Type I,7.818675,7.558058,1,0,1,0,0,0,0,0,0,0,1,1
2L@5274829@-,Type I,7.6154666,7.6854796,1,0,0,0,0,0,0,0,0,0,1,1
2L@5318519@-,Type I,7.299082,6.653923,1,0,1,0,0,0,0,0,0,0,1,1
2L@5322454@-,Type I,9.70129,8.434582,1,1,1,0,0,0,0,0,0,0,1,1
2L@5340399@-,Type I,6.5181904,9.246994,0,0,0,1,1,0,0,0,0,0,1,1
2L@5340708@-,Type I,10.929439,7.538077,1,1,1,0,0,0,0,0,0,0,1,1
2L@5519460@-,Type I,6.507085,8.77107,0,0,0,1,1,0,0,0,0,0,1,1
2L@5521729@-,Type I,10.328742,7.016623,1,1,1,0,0,0,0,0,0,0,1,1
2L@5523074@-,Type I,7.0326033,6.361065,1,0,1,0,0,0,0,0,0,0,1,1
2L@5526206@+,Type I,10.23705,7.3164,1,1,1,0,0,0,0,0,0,0,1,1
2L@5526449@+,Type I,10.642197,7.433486,1,1,1,0,0,0,0,0,0,0,1,1
2L@5526506@+,Type I,7.535373,10.115337,0,1,0,1,1,0,0,0,0,0,1,1
2L@5528524@+,Type I,9.68741,7.2277074,1,1,1,0,0,0,0,0,0,0,1,1
2L@5528598@+,Type I,7.95415,8.862592,0,1,0,1,0,0,0,0,0,0,1,1
2L@5530915@-,Type I,8.497232,7.9497886,1,1,1,0,0,0,0,0,0,0,1,1
2L@5531351@-,Type I,7.2712197,8.076346,0,0,0,0,0,0,0,0,0,0,1,1
2L@5531886@-,Type I,8.164967,7.8645663,1,1,1,0,0,0,0,0,0,0,1,1
2L@5533144@+,Type I,10.764002,7.9569526,1,1,1,0,0,0,0,0,0,0,1,1
2L@5535294@+,Type I,10.626442,7.6520963,1,1,1,0,0,0,0,0,0,0,1,1
2L@5539733@-,Type I,7.1098385,6.5813246,1,0,1,0,0,0,0,0,0,0,1,1
2L@5543385@+,Type II,3.677883,8.900742,0,0,0,1,1,1,1,1,1,1,0,0
2L@5543541@+,Type I,8.366778,8.398905,1,1,1,0,0,0,0,0,0,0,1,1
2L@5543561@+,Type I,7.6850944,6.676243,1,0,1,0,0,0,0,0,0,0,1,1
2L@559801@+,Type II,3.9968576,8.82544,0,0,0,1,1,1,1,1,1,1,0,0
2L@565279@+,Type II,4.024495,8.433182,0,0,0,1,1,1,1,1,1,1,0,0
2L@569241@+,Type I,8.073131,5.769577,1,0,1,0,0,0,0,0,0,0,1,1
2L@572036@+,Type II,4.9792523,8.613217,0,0,0,1,1,1,1,1,-1,1,0,0
2L@572489@+,Type I,8.446138,8.740837,1,1,0,0,0,0,0,0,0,0,1,1
2L@5725144@+,Type I,7.3653173,6.1379213,1,0,1,0,0,0,0,0,0,0,1,1
2L@573217@-,Type II,3.9078174,8.431042,0,0,0,1,1,1,1,1,1,1,0,0
2L@575840@-,Type I,6.9127827,8.245609,0,0,0,1,1,0,0,0,0,0,1,1
2L@576120@-,Type I,9.202631,6.4174814,1,0,1,0,0,0,0,0,0,0,1,1
2L@5770061@-,Type I,10.674319,8.549229,1,1,1,0,0,0,0,0,0,0,1,1
2L@5770830@-,Type II,4.2414827,9.139134,0,0,0,1,1,1,1,1,1,1,0,0
2L@5801472@-,Type I,8.744838,9.858406,1,1,0,1,0,0,0,0,0,0,1,1
2L@5801727@-,Type I,6.708277,8.21075,0,0,0,1,1,0,0,0,0,0,1,1
2L@5802599@+,Type I,10.139931,8.408886,1,1,1,0,0,0,0,0,0,0,1,1
2L@5886400@+,Type I,7.45441,10.033227,0,1,0,1,1,0,0,0,0,0,1,1
2L@5918688@+,Type II,4.43168,8.574367,0,0,0,1,1,1,1,1,1,1,0,0
2L@5919656@+,Type I,6.5395794,8.300966,0,0,0,1,1,0,0,0,0,0,1,1
2L@5946499@+,Type II,4.492619,8.372962,0,0,0,1,1,1,1,1,1,1,0,0
2L@5951383@+,Type I,9.236588,8.452613,1,1,1,0,0,0,0,0,0,0,1,1
2L@5992114@-,Type I,7.4855084,6.6651793,1,0,1,0,0,0,0,0,0,0,1,1
2L@5994236@-,Type I,8.13664,8.896138,1,1,0,1,0,0,0,0,0,0,1,1
2L@5995165@-,Type I,6.8428125,6.556081,0,0,1,0,0,0,0,0,0,0,1,1
2L@5995618@-,Type II,4.355218,8.473999,0,0,0,1,1,1,1,1,1,1,0,0
2L@5995788@-,Type I,6.533773,8.32046,0,0,0,1,1,0,0,0,0,0,1,1
2L@6023656@-,Type I,6.214032,9.468219,0,0,0,1,1,0,0,0,0,0,1,1
2L@6035636@-,Type I,8.791009,7.616802,1,1,1,0,0,0,0,0,0,0,1,1
2L@6039803@+,Type I,6.1926994,8.435215,0,0,0,1,1,0,0,0,0,0,1,1
2L@6040020@+,Type I,8.130365,6.548653,1,0,1,0,0,0,0,0,0,0,1,1
2L@6040044@+,Type I,7.299626,6.102695,1,0,1,0,0,0,0,0,0,0,1,1
2L@6040803@+,Type I,7.458849,9.427735,0,1,0,1,1,0,0,0,0,0,1,1
2L@6043310@-,Type II,4.5477495,8.582651,0,0,0,1,1,1,1,1,1,1,0,0
2L@6045007@-,Type I,6.636827,8.503003,0,0,0,1,1,0,0,0,0,0,1,1
2L@6052154@+,Type I,8.486585,9.063834,1,1,0,0,0,0,0,0,0,0,1,1
2L@6066466@+,Type I,8.302885,9.37571,1,1,0,1,0,0,0,0,0,0,1,1
2L@6097621@-,Type I,10.642945,8.661168,1,1,1,0,0,0,0,0,0,0,1,1
2L@6123404@+,Type I,8.784791,7.953817,1,1,1,0,0,0,0,0,0,0,1,1
2L@6326296@+,Type II,4.169233,8.254187,0,0,0,1,1,1,1,1,1,1,0,0
2L@6326298@+,Type I,10.693526,8.361548,1,1,1,0,0,0,0,0,0,0,1,1
2L@6326779@+,Type I,6.808239,7.5332794,0,0,0,0,1,0,0,0,0,0,1,1
2L@6326983@+,Type I,7.3327713,9.647143,0,1,0,1,1,0,0,0,0,0,1,1
2L@6327572@+,Type I,9.281324,7.247973,1,1,1,0,0,0,0,0,0,0,1,1
2L@6328607@+,Type I,10.035127,8.807557,1,1,1,0,0,0,0,0,0,0,1,1
2L@6328608@+,Type I,6.5090175,9.888561,0,0,0,1,1,0,0,0,0,0,1,1
2L@6334411@-,Type I,6.160604,8.433804,0,0,0,1,1,0,0,0,0,0,1,1
2L@6335158@-,Type I,8.706313,7.0142565,1,0,1,0,0,0,0,0,0,0,1,1
2L@6335453@-,Type I,7.560151,6.146983,1,0,1,0,0,0,0,0,0,0,1,1
2L@6335605@-,Type I,7.018667,7.980555,0,0,0,0,1,0,0,0,0,0,1,1
2L@6337063@-,Type I,10.773272,8.125318,1,1,1,0,0,0,0,0,0,0,1,1
2L@6344490@+,Type I,7.9813623,9.278022,0,1,0,1,0,0,0,0,0,0,1,1
2L@6345423@+,Type I,7.171286,9.43156,0,1,0,1,1,0,0,0,0,0,1,1
2L@6374654@+,Type II,4.3158517,8.826157,0,0,0,1,1,1,1,1,1,1,0,0
2L@6375799@+,Type I,9.141663,6.9890013,1,1,1,0,0,0,0,0,0,0,1,1
2L@6376031@+,Type I,7.19455,9.538433,0,1,0,1,1,0,0,0,0,0,1,1
2L@6376252@+,Type I,8.616914,7.9278617,1,1,1,0,0,0,0,0,0,0,1,1
2L@6376853@+,Type II,4.251322,9.146473,0,0,0,1,1,1,1,1,1,1,0,0
2L@6424759@+,Type I,10.828252,8.188652,1,1,1,0,0,0,0,0,0,0,1,1
2L@6445400@-,Type I,6.8117895,9.046842,0,0,0,1,1,0,0,0,0,0,1,1
2L@6452644@-,Type I,9.856001,7.059678,1,1,1,0,0,0,0,0,0,0,1,1
2L@6457690@+,Type I,7.535324,9.520748,0,1,0,1,1,0,0,0,0,0,1,1
2L@6466541@-,Type I,6.444834,8.8347,0,0,0,1,1,0,0,0,0,0,1,1
2L@6467088@-,Type I,8.843238,8.947766,1,1,1,0,0,0,0,0,0,0,1,1
2L@6471394@-,Type I,6.9606133,9.574914,0,1,0,1,1,0,0,0,0,0,1,1
2L@6475617@-,Type I,10.009047,7.905815,1,1,1,0,0,0,0,0,0,0,1,1
2L@6476638@-,Type I,8.634015,8.426061,1,1,1,0,0,0,0,0,0,0,1,1
2L@6476858@-,Type I,9.502693,7.1819572,1,1,1,0,0,0,0,0,0,0,1,1
2L@6482782@+,Type I,7.8412943,6.8159976,1,0,1,0,0,0,0,0,0,0,1,1
2L@6484633@+,Type II,3.783587,8.702925,0,0,0,1,1,1,1,1,1,1,0,0
2L@6485458@+,Type I,6.9230037,6.9360414,0,0,1,0,0,0,0,0,0,0,1,1
2L@6493432@-,Type I,8.50987,9.557513,1,1,0,1,0,0,0,0,0,0,1,1
2L@6499470@+,Type I,6.2557006,8.190496,0,0,0,1,1,0,0,0,0,0,1,1
2L@6565256@-,Type I,4.6848044,8.209811,0,0,0,1,1,1,1,1,-1,1,0,0
2L@6635055@-,Type I,7.3737307,6.42755,1,0,1,0,0,0,0,0,0,0,1,1
2L@6635844@-,Type I,7.1129804,7.621486,0,0,1,0,0,0,0,0,0,0,1,1
2L@6638968@-,Type I,10.1887245,8.854194,1,1,1,0,0,0,0,0,0,0,1,1
2L@6640507@-,Type I,7.627964,7.652321,1,0,0,0,0,0,0,0,0,0,1,1
2L@6651838@+,Type I,9.826653,7.0693803,1,1,1,0,0,0,0,0,0,0,1,1
2L@6653625@+,Type I,10.035076,6.9529324,1,1,1,0,0,0,0,0,0,0,1,1
2L@6654061@+,Type I,9.56573,8.792994,1,1,1,0,0,0,0,0,0,0,1,1
2L@6654174@+,Type I,7.7778206,6.8218985,1,0,1,0,0,0,0,0,0,0,1,1
2L@6655550@-,Type I,8.674534,6.6848288,1,0,1,0,0,0,0,0,0,0,1,1
2L@6658672@+,Type I,10.868391,7.554912,1,1,1,0,0,0,0,0,0,0,1,1
2L@6658903@+,Type I,6.193322,8.663489,0,0,0,1,1,0,0,0,0,0,1,1
2L@6661007@+,Type II,4.5431733,8.987626,0,0,0,1,1,1,1,1,1,1,0,0
2L@6661318@+,Type I,7.9018087,7.3728356,1,0,1,0,0,0,0,0,0,0,1,1
2L@6664401@+,Type I,10.639679,6.862529,1,0,1,0,0,0,0,0,0,0,1,1
2L@6668532@+,Type II,3.9388494,8.245915,0,0,0,1,1,1,1,1,1,1,0,0
2L@6669645@+,Type I,5.4552336,8.660413,0,0,0,1,1,0,1,1,-1,-1,-1,0
2L@6672089@-,Type I,7.1530404,7.844645,0,0,0,0,0,0,0,0,0,0,1,1
2L@6675455@-,Type I,6.524812,8.832643,0,0,0,1,1,0,0,0,0,0,1,1
2L@6675671@-,Type I,9.16688,6.8769913,1,1,1,0,0,0,0,0,0,0,1,1
2L@6684114@-,Type I,8.229902,5.4998736,1,0,1,0,0,0,0,0,0,0,1,1
2L@6726708@+,Type I,7.3139343,5.7696314,1,0,1,0,0,0,0,0,0,0,1,1
2L@6852692@+,Type I,5.3180633,8.87776,0,0,0,1,1,1,0,0,-1,-1,1,0
2L@6858703@+,Type I,8.284881,8.889858,1,1,0,1,0,0,0,0,0,0,1,1
2L@6858888@+,Type I,6.7802877,9.210304,0,0,0,1,1,0,0,0,0,0,1,1
2L@6859316@+,Type I,10.430247,7.577374,1,1,1,0,0,0,0,0,0,0,1,1
2L@6859996@+,Type I,9.446856,8.942285,1,1,1,0,0,0,0,0,0,0,1,1
2L@6907348@-,Type I,6.6068597,6.8705025,0,0,1,0,0,0,0,0,0,0,1,1
2L@6909650@+,Type I,10.48785,7.3000226,1,1,1,0,0,0,0,0,0,0,1,1
2L@6912785@-,Type I,6.457252,8.720508,0,0,0,1,1,0,0,0,0,0,1,1
2L@6924337@+,Type I,9.73189,7.5287213,1,1,1,0,0,0,0,0,0,0,1,1
2L@6925020@+,Type I,7.686084,7.3118744,1,0,1,0,0,0,0,0,0,0,1,1
2L@6926399@+,Type I,7.67267,8.265717,0,1,0,1,0,0,0,0,0,0,1,1
2L@6944457@-,Type II,3.9698641,8.148773,0,0,0,1,1,1,1,1,1,1,0,0
2L@6946013@-,Type I,8.023417,7.921126,1,1,1,0,0,0,0,0,0,0,1,1
2L@6947273@-,Type I,7.2317986,9.627708,0,1,0,1,1,0,0,0,0,0,1,1
2L@6950781@+,Type I,10.529721,6.5936213,1,0,1,0,0,0,0,0,0,0,1,1
2L@6951279@+,Type I,7.9603634,7.6248336,1,0,1,0,0,0,0,0,0,0,1,1
2L@6951736@+,Type I,7.7697396,5.7630553,1,0,1,0,0,0,0,0,0,0,1,1
2L@6952666@+,Type I,7.711548,7.113607,1,0,1,0,0,0,0,0,0,0,1,1
2L@6952930@+,Type I,10.303396,6.8056087,1,0,1,0,0,0,0,0,0,0,1,1
2L@6957527@+,Type I,8.001429,9.182312,0,1,0,1,0,0,0,0,0,0,1,1
2L@6959631@-,Type I,8.742304,6.16558,1,0,1,0,0,0,0,0,0,0,1,1
2L@6959632@-,Type I,6.4085655,9.043148,0,0,0,1,1,0,0,0,0,0,1,1
2L@6960802@+,Type I,7.3067536,9.983909,0,1,0,1,1,0,0,0,0,0,1,1
2L@6970644@-,Type I,6.0281086,9.41189,0,0,0,1,1,0,0,0,0,0,1,1
2L@6971373@-,Type I,10.858142,7.872428,1,1,1,0,0,0,0,0,0,0,1,1
2L@6976736@-,Type II,4.168899,8.971612,0,0,0,1,1,1,1,1,1,1,0,0
2L@7013925@+,Type I,9.894707,6.3308353,1,0,1,0,0,0,0,0,0,0,1,1
2L@7017562@-,Type I,8.90683,7.973592,1,1,1,0,0,0,0,0,0,0,1,1
2L@7017754@-,Type I,8.160589,7.4395432,1,0,1,0,0,0,0,0,0,0,1,1
2L@7028087@+,Type I,9.195265,8.150475,1,1,1,0,0,0,0,0,0,0,1,1
2L@7028089@+,Type I,8.235222,7.649884,1,1,1,0,0,0,0,0,0,0,1,1
2L@7028381@+,Type I,6.767581,7.2723923,0,0,1,0,1,0,0,0,0,0,1,1
2L@7031853@-,Type I,6.2974844,9.249691,0,0,0,1,1,0,0,0,0,0,1,1
2L@7036585@+,Type II,3.7870975,8.767737,0,0,0,1,1,1,1,1,1,1,0,0
2L@7051540@+,Type II,4.779914,8.393506,0,0,0,1,1,1,1,1,1,1,0,0
2L@7051548@+,Type II,3.5895143,8.459447,0,0,0,1,1,1,1,1,1,1,0,0
2L@7051775@+,Type I,8.712159,6.484166,1,0,1,0,0,0,0,0,0,0,1,1
2L@7052497@+,Type I,7.5212455,8.409367,0,0,0,1,0,0,0,0,0,0,1,1
2L@7053652@+,Type I,8.44595,6.5408287,1,0,1,0,0,0,0,0,0,0,1,1
2L@7057495@+,Type I,7.549185,6.4008255,1,0,1,0,0,0,0,0,0,0,1,1
2L@7058082@+,Type II,4.199156,8.897215,0,0,0,1,1,1,1,1,1,1,0,0
2L@7058292@+,Type I,6.794023,8.541071,0,0,0,1,1,0,0,0,0,0,1,1
2L@7061022@+,Type I,10.015591,7.103741,1,1,1,0,0,0,0,0,0,0,1,1
2L@7061080@+,Type I,6.3477263,9.564512,0,0,0,1,1,0,0,0,0,0,1,1
2L@7100091@-,Type I,8.161942,9.738043,0,1,0,1,0,0,0,0,0,0,1,1
2L@7182808@+,Type I,6.7552934,6.9340925,0,0,1,0,0,0,0,0,0,0,1,1
2L@7191698@-,Type I,7.2231555,9.903127,0,1,0,1,1,0,0,0,0,0,1,1
2L@7191760@-,Type I,7.0806518,7.774737,0,0,0,0,0,0,0,0,0,0,1,1
2L@7192859@-,Type I,7.288967,10.209722,0,1,0,1,1,0,0,0,0,0,1,1
2L@7206553@-,Type I,6.660679,9.394004,0,0,0,1,1,0,0,0,0,0,1,1
2L@7409591@-,Type I,10.501349,7.142715,1,1,1,0,0,0,0,0,0,0,1,1
2L@7421505@+,Type II,4.0871315,9.079568,0,0,0,1,1,1,1,1,1,1,0,0
2L@7421576@+,Type I,6.597935,8.281322,0,0,0,1,1,0,0,0,0,0,1,1
2L@7421877@+,Type I,6.793158,6.3223267,0,0,1,0,0,0,0,0,0,0,1,1
2L@7423917@+,Type I,10.609897,8.665882,1,1,1,0,0,0,0,0,0,0,1,1
2L@7428462@+,Type I,8.3840275,6.33571,1,0,1,0,0,0,0,0,0,0,1,1
2L@7429514@+,Type I,8.918992,8.619697,1,1,1,0,0,0,0,0,0,0,1,1
2L@7500287@-,Type I,9.229608,6.440204,1,0,1,0,0,0,0,0,0,0,1,1
2L@75013@+,Type I,6.0831065,7.753556,0,0,0,1,1,0,0,0,0,0,1,1
2L@75195@+,Type I,9.962078,6.65327,1,0,1,0,0,0,0,0,0,0,1,1
2L@7693932@-,Type I,7.7214365,7.375551,1,0,1,0,0,0,0,0,0,0,1,1
2L@7694689@-,Type I,6.3425417,6.6000795,0,0,1,0,0,0,0,0,0,0,1,1
2L@7803462@-,Type I,9.5219345,8.738875,1,1,1,0,0,0,0,0,0,0,1,1
2L@7804835@-,Type I,7.2878795,8.556345,0,0,0,1,0,0,0,0,0,0,1,1
2L@7822949@+,Type I,6.6070786,7.8817825,0,0,0,1,1,0,0,0,0,0,1,1
2L@7823607@+,Type I,7.4399877,6.0889015,1,0,1,0,0,0,0,0,0,0,1,1
2L@7824733@+,Type I,9.4127245,7.73146,1,1,1,0,0,0,0,0,0,0,1,1
2L@7824786@+,Type I,8.802091,9.522356,1,1,1,0,0,0,0,0,0,0,1,1
2L@8003382@-,Type I,8.921585,9.154581,1,1,1,0,0,0,0,0,0,0,1,1
2L@8003629@-,Type I,9.574199,6.4100556,1,0,1,0,0,0,0,0,0,0,1,1
2L@8009111@-,Type II,4.637582,8.509747,0,0,0,1,1,1,1,1,1,1,0,0
2L@8036045@+,Type I,7.804384,9.088495,0,1,0,1,0,0,0,0,0,0,1,1
2L@8037427@+,Type I,9.294996,8.706642,1,1,1,0,0,0,0,0,0,0,1,1
2L@8037428@+,Type I,7.6754165,7.706641,1,0,0,0,0,0,0,0,0,0,1,1
2L@8041775@+,Type I,6.560795,9.772813,0,0,0,1,1,0,0,0,0,0,1,1
2L@8042502@-,Type I,8.242447,7.7977614,1,1,1,0,0,0,0,0,0,0,1,1
2L@8050100@+,Type I,10.420045,6.966254,1,1,1,0,0,0,0,0,0,0,1,1
2L@8050207@+,Type I,6.7359796,6.0424657,1,0,1,0,0,0,0,0,0,0,1,1
2L@8051470@+,Type I,8.86353,7.7349796,1,1,1,0,0,0,0,0,0,0,1,1
2L@8056702@-,Type I,9.657994,6.9401503,1,1,1,0,0,0,0,0,0,0,1,1
2L@8058060@-,Type I,7.9424186,9.291279,0,1,0,1,0,0,0,0,0,0,1,1
2L@8059464@-,Type I,4.3861775,8.372527,0,0,0,1,1,1,1,1,1,1,0,0
2L@8062412@-,Type I,10.499659,6.6770787,1,0,1,0,0,0,0,0,0,0,1,1
2L@8063631@-,Type I,6.383274,9.57271,0,0,0,1,1,0,0,0,0,0,1,1
2L@8065463@-,Type I,9.284391,7.5066776,1,1,1,0,0,0,0,0,0,0,1,1
2L@8067502@-,Type I,7.2473254,9.840545,0,1,0,1,1,0,0,0,0,0,1,1
2L@8067754@-,Type I,7.3649883,8.922653,0,1,0,1,1,0,0,0,0,0,1,1
2L@8068846@-,Type I,9.139458,6.9632854,1,1,1,0,0,0,0,0,0,0,1,1
2L@8070336@-,Type I,9.076164,6.283961,1,0,1,0,0,0,0,0,0,0,1,1
2L@8077314@-,Type I,7.1675806,7.7255206,0,0,0,0,0,0,0,0,0,0,1,1
2L@8077416@-,Type I,6.921154,9.176248,0,0,0,1,1,0,0,0,0,0,1,1
2L@8080037@-,Type I,6.378461,6.445794,0,0,1,0,0,0,0,0,0,0,1,1
2L@8107386@+,Type I,8.771203,8.122251,1,1,1,0,0,0,0,0,0,0,1,1
2L@811629@+,Type I,8.746276,6.059946,1,0,1,0,0,0,0,0,0,0,1,1
2L@8121336@-,Type I,7.1237664,7.044433,0,0,1,0,0,0,0,0,0,0,1,1
2L@812149@+,Type II,3.826852,8.554531,0,0,0,1,1,1,1,1,1,1,0,0
2L@812272@+,Type II,4.7308326,8.381222,0,0,0,1,1,1,1,1,1,1,0,0
